[46.885013580] 2021-02-24 21:54:37,241 - INFO - launcher: Starting sanity checks
[46.885013580] 2021-02-24 21:54:37,241 - INFO - launcher: Checking for Python 3.5+
[46.885013580] 2021-02-24 21:54:37,241 - INFO - launcher: Checking console encoding
[46.885013580] 2021-02-24 21:54:37,241 - INFO - launcher: Setting console encoding to UTF-8
[46.885013580] 2021-02-24 21:54:37,241 - INFO - launcher: Ensuring we're in the right environment
[46.885013580] 2021-02-24 21:54:37,241 - INFO - launcher: Adding local bins/ folder to path
[1172.876834869] 2021-02-24 21:54:38,367 - INFO - launcher: Required checks passed.
[1188.480138779] 2021-02-24 21:54:38,383 - INFO - launcher: Optional checks passed.
[1188.480138779] 2021-02-24 21:54:38,383 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[2.3603577613830566] 2021-02-24 21:54:39,555 - INFO - musicbot.config | In config.py::MainThread(2620), line 132 in run_checks: Using i18n: config/i18n/br.json
[2.7197544574737549] 2021-02-24 21:54:39,914 - DEBUG - musicbot.bot | In bot.py::MainThread(2620), line 225 in _setup_logging: Set logging level to INFO
[2.7666721343994141] 2021-02-24 21:54:39,961 - WARNING - musicbot.permissions | In permissions.py::MainThread(2620), line 198 in validate: Max search items can't be larger than 100. Setting to 100.
[2.7666721343994141] 2021-02-24 21:54:39,961 - WARNING - musicbot.permissions | In permissions.py::MainThread(2620), line 198 in validate: Max search items can't be larger than 100. Setting to 100.
[2.7666721343994141] 2021-02-24 21:54:39,961 - DEBUG - musicbot.json | In json.py::MainThread(2620), line 8 in __init__: Init JSON obj with config/i18n/br.json
[2.8760051727294922] 2021-02-24 21:54:40,070 - INFO - musicbot.bot | In bot.py::MainThread(2620), line 90 in __init__: Starting MusicBot version_unknown
[2.8760051727294922] 2021-02-24 21:54:40,070 - INFO - musicbot.bot | In bot.py::MainThread(2620), line 96 in __init__: Loaded autoplaylist with 1166 entries
[3.1103785037994385] 2021-02-24 21:54:40,305 - DEBUG - musicbot.spotify | In spotify.py::MainThread(2620), line 74 in get_token: Created a new access token: {'access_token': 'BQDoPoxuoTOnn2zUYAL21JGBgfhTUlE6FItJJeK08CQQZ3wjEYn2o4U2kng_juUG3GA01ad1FOZQkS3XtqE', 'token_type': 'Bearer', 'expires_in': 3600, 'scope': '', 'expires_at': 1614218080}
[3.1103785037994385] 2021-02-24 21:54:40,305 - INFO - musicbot.bot | In bot.py::MainThread(2620), line 121 in __init__: Authenticated with Spotify successfully using client ID and secret.
[6.3076822757720947] 2021-02-24 21:54:43,502 - DEBUG - musicbot.bot | In bot.py::MainThread(2620), line 951 in on_ready: Connection established, ready to go.
[6.3076822757720947] 2021-02-24 21:54:43,502 - DEBUG - musicbot.bot | In bot.py::MainThread(2620), line 342 in _cache_app_info: Caching app info
[6.4795682430267334] 2021-02-24 21:54:43,674 - DEBUG - musicbot.bot | In bot.py::MainThread(2620), line 773 in _scheck_ensure_env: Ensuring data folders exist
[6.4795682430267334] 2021-02-24 21:54:43,674 - DEBUG - musicbot.bot | In bot.py::MainThread(2620), line 783 in _scheck_ensure_env: Deleted old audio cache
